sat_id,orbit_class,quantity,timestamp,error
IRNSS-1A,GEO/GSO,clock,2025-01-01T00:00:00Z,0.044
IRNSS-1A,GEO/GSO,clock,2025-01-01T00:15:00Z,0.0391
IRNSS-1A,GEO/GSO,clock,2025-01-01T00:30:00Z,0.0455
IRNSS-1A,GEO/GSO,clock,2025-01-01T00:45:00Z,0.0527
IRNSS-1A,GEO/GSO,clock,2025-01-01T01:00:00Z,0.0388
IRNSS-1A,GEO/GSO,clock,2025-01-01T01:15:00Z,0.0389
IRNSS-1A,GEO/GSO,clock,2025-01-01T01:30:00Z,0.0536
IRNSS-1A,GEO/GSO,clock,2025-01-01T01:45:00Z,0.0473
IRNSS-1A,GEO/GSO,clock,2025-01-01T02:00:00Z,0.0375
IRNSS-1A,GEO/GSO,clock,2025-01-01T02:15:00Z,0.0458
IRNSS-1A,GEO/GSO,clock,2025-01-01T02:30:00Z,0.0379
IRNSS-1A,GEO/GSO,clock,2025-01-01T02:45:00Z,0.038
IRNSS-1A,GEO/GSO,clock,2025-01-01T03:00:00Z,0.0439
IRNSS-1A,GEO/GSO,clock,2025-01-01T03:15:00Z,0.0268
IRNSS-1A,GEO/GSO,clock,2025-01-01T03:30:00Z,0.0284
IRNSS-1A,GEO/GSO,clock,2025-01-01T03:45:00Z,0.0379
IRNSS-1A,GEO/GSO,clock,2025-01-01T04:00:00Z,0.0344
IRNSS-1A,GEO/GSO,clock,2025-01-01T04:15:00Z,0.0452
IRNSS-1A,GEO/GSO,clock,2025-01-01T04:30:00Z,0.0356
IRNSS-1A,GEO/GSO,clock,2025-01-01T04:45:00Z,0.0317
IRNSS-1A,GEO/GSO,clock,2025-01-01T05:00:00Z,0.0549
IRNSS-1A,GEO/GSO,clock,2025-01-01T05:15:00Z,0.0415
IRNSS-1A,GEO/GSO,clock,2025-01-01T05:30:00Z,0.044
IRNSS-1A,GEO/GSO,clock,2025-01-01T05:45:00Z,0.0322
IRNSS-1A,GEO/GSO,clock,2025-01-01T06:00:00Z,0.0394
IRNSS-1A,GEO/GSO,clock,2025-01-01T06:15:00Z,0.0448
IRNSS-1A,GEO/GSO,clock,2025-01-01T06:30:00Z,0.0349
IRNSS-1A,GEO/GSO,clock,2025-01-01T06:45:00Z,0.0473
IRNSS-1A,GEO/GSO,clock,2025-01-01T07:00:00Z,0.0396
IRNSS-1A,GEO/GSO,clock,2025-01-01T07:15:00Z,0.0422
IRNSS-1A,GEO/GSO,clock,2025-01-01T07:30:00Z,0.0399
IRNSS-1A,GEO/GSO,clock,2025-01-01T07:45:00Z,0.0597
IRNSS-1A,GEO/GSO,clock,2025-01-01T08:00:00Z,0.0449
IRNSS-1A,GEO/GSO,clock,2025-01-01T08:15:00Z,0.0367
IRNSS-1A,GEO/GSO,clock,2025-01-01T08:30:00Z,0.0519
IRNSS-1A,GEO/GSO,clock,2025-01-01T08:45:00Z,0.0357
IRNSS-1A,GEO/GSO,clock,2025-01-01T09:00:00Z,0.0473
IRNSS-1A,GEO/GSO,clock,2025-01-01T09:15:00Z,0.0301
IRNSS-1A,GEO/GSO,clock,2025-01-01T09:30:00Z,0.0353
IRNSS-1A,GEO/GSO,clock,2025-01-01T09:45:00Z,0.0477
IRNSS-1A,GEO/GSO,clock,2025-01-01T10:00:00Z,0.0521
IRNSS-1A,GEO/GSO,clock,2025-01-01T10:15:00Z,0.0477
IRNSS-1A,GEO/GSO,clock,2025-01-01T10:30:00Z,0.0456
IRNSS-1A,GEO/GSO,clock,2025-01-01T10:45:00Z,0.0443
IRNSS-1A,GEO/GSO,clock,2025-01-01T11:00:00Z,0.035
IRNSS-1A,GEO/GSO,clock,2025-01-01T11:15:00Z,0.0412
IRNSS-1A,GEO/GSO,clock,2025-01-01T11:30:00Z,0.0434
IRNSS-1A,GEO/GSO,clock,2025-01-01T11:45:00Z,0.0557
IRNSS-1A,GEO/GSO,clock,2025-01-01T12:00:00Z,0.0501
IRNSS-1A,GEO/GSO,clock,2025-01-01T12:15:00Z,0.0334
IRNSS-1A,GEO/GSO,clock,2025-01-01T12:30:00Z,0.0503
IRNSS-1A,GEO/GSO,clock,2025-01-01T12:45:00Z,0.0447
IRNSS-1A,GEO/GSO,clock,2025-01-01T13:00:00Z,0.0425
IRNSS-1A,GEO/GSO,clock,2025-01-01T13:15:00Z,0.053
IRNSS-1A,GEO/GSO,clock,2025-01-01T13:30:00Z,0.0565
IRNSS-1A,GEO/GSO,clock,2025-01-01T13:45:00Z,0.0558
IRNSS-1A,GEO/GSO,clock,2025-01-01T14:00:00Z,0.0418
IRNSS-1A,GEO/GSO,clock,2025-01-01T14:15:00Z,0.0462
IRNSS-1A,GEO/GSO,clock,2025-01-01T14:30:00Z,0.0514
IRNSS-1A,GEO/GSO,clock,2025-01-01T14:45:00Z,0.0567
IRNSS-1A,GEO/GSO,clock,2025-01-01T15:00:00Z,0.0452
IRNSS-1A,GEO/GSO,clock,2025-01-01T15:15:00Z,0.0477
IRNSS-1A,GEO/GSO,clock,2025-01-01T15:30:00Z,0.0404
IRNSS-1A,GEO/GSO,clock,2025-01-01T15:45:00Z,0.0399
IRNSS-1A,GEO/GSO,clock,2025-01-01T16:00:00Z,0.0561
IRNSS-1A,GEO/GSO,clock,2025-01-01T16:15:00Z,0.0605
IRNSS-1A,GEO/GSO,clock,2025-01-01T16:30:00Z,0.0492
IRNSS-1A,GEO/GSO,clock,2025-01-01T16:45:00Z,0.058
IRNSS-1A,GEO/GSO,clock,2025-01-01T17:00:00Z,0.053
IRNSS-1A,GEO/GSO,clock,2025-01-01T17:15:00Z,0.045
IRNSS-1A,GEO/GSO,clock,2025-01-01T17:30:00Z,0.0532
IRNSS-1A,GEO/GSO,clock,2025-01-01T17:45:00Z,0.0627
IRNSS-1A,GEO/GSO,clock,2025-01-01T18:00:00Z,0.0503
IRNSS-1A,GEO/GSO,clock,2025-01-01T18:15:00Z,0.0632
IRNSS-1A,GEO/GSO,clock,2025-01-01T18:30:00Z,0.0298
IRNSS-1A,GEO/GSO,clock,2025-01-01T18:45:00Z,0.0575
IRNSS-1A,GEO/GSO,clock,2025-01-01T19:00:00Z,0.0517
IRNSS-1A,GEO/GSO,clock,2025-01-01T19:15:00Z,0.0487
IRNSS-1A,GEO/GSO,clock,2025-01-01T19:30:00Z,0.052
IRNSS-1A,GEO/GSO,clock,2025-01-01T19:45:00Z,0.0355
IRNSS-1A,GEO/GSO,clock,2025-01-01T20:00:00Z,0.0497
IRNSS-1A,GEO/GSO,clock,2025-01-01T20:15:00Z,0.0544
IRNSS-1A,GEO/GSO,clock,2025-01-01T20:30:00Z,0.0635
IRNSS-1A,GEO/GSO,clock,2025-01-01T20:45:00Z,0.0477
IRNSS-1A,GEO/GSO,clock,2025-01-01T21:00:00Z,0.0454
IRNSS-1A,GEO/GSO,clock,2025-01-01T21:15:00Z,0.048
IRNSS-1A,GEO/GSO,clock,2025-01-01T21:30:00Z,0.0594
IRNSS-1A,GEO/GSO,clock,2025-01-01T21:45:00Z,0.0549
IRNSS-1A,GEO/GSO,clock,2025-01-01T22:00:00Z,0.0481
IRNSS-1A,GEO/GSO,clock,2025-01-01T22:15:00Z,0.0565
IRNSS-1A,GEO/GSO,clock,2025-01-01T22:30:00Z,0.0533
IRNSS-1A,GEO/GSO,clock,2025-01-01T22:45:00Z,0.0604
IRNSS-1A,GEO/GSO,clock,2025-01-01T23:00:00Z,0.0471
IRNSS-1A,GEO/GSO,clock,2025-01-01T23:15:00Z,0.0502
IRNSS-1A,GEO/GSO,clock,2025-01-01T23:30:00Z,0.0498
IRNSS-1A,GEO/GSO,clock,2025-01-01T23:45:00Z,0.0413
IRNSS-1A,GEO/GSO,clock,2025-01-02T00:00:00Z,0.0555
IRNSS-1A,GEO/GSO,clock,2025-01-02T00:15:00Z,0.0553
IRNSS-1A,GEO/GSO,clock,2025-01-02T00:30:00Z,0.0533
IRNSS-1A,GEO/GSO,clock,2025-01-02T00:45:00Z,0.0515
IRNSS-1A,GEO/GSO,clock,2025-01-02T01:00:00Z,0.0421
IRNSS-1A,GEO/GSO,clock,2025-01-02T01:15:00Z,0.0502
IRNSS-1A,GEO/GSO,clock,2025-01-02T01:30:00Z,0.0509
IRNSS-1A,GEO/GSO,clock,2025-01-02T01:45:00Z,0.0473
IRNSS-1A,GEO/GSO,clock,2025-01-02T02:00:00Z,0.0525
IRNSS-1A,GEO/GSO,clock,2025-01-02T02:15:00Z,0.0571
IRNSS-1A,GEO/GSO,clock,2025-01-02T02:30:00Z,0.069
IRNSS-1A,GEO/GSO,clock,2025-01-02T02:45:00Z,0.0554
IRNSS-1A,GEO/GSO,clock,2025-01-02T03:00:00Z,0.0562
IRNSS-1A,GEO/GSO,clock,2025-01-02T03:15:00Z,0.0536
IRNSS-1A,GEO/GSO,clock,2025-01-02T03:30:00Z,0.0389
IRNSS-1A,GEO/GSO,clock,2025-01-02T03:45:00Z,0.0541
IRNSS-1A,GEO/GSO,clock,2025-01-02T04:00:00Z,0.0549
IRNSS-1A,GEO/GSO,clock,2025-01-02T04:15:00Z,0.0742
IRNSS-1A,GEO/GSO,clock,2025-01-02T04:30:00Z,0.053
IRNSS-1A,GEO/GSO,clock,2025-01-02T04:45:00Z,0.057
IRNSS-1A,GEO/GSO,clock,2025-01-02T05:00:00Z,0.0544
IRNSS-1A,GEO/GSO,clock,2025-01-02T05:15:00Z,0.0454
IRNSS-1A,GEO/GSO,clock,2025-01-02T05:30:00Z,0.0639
IRNSS-1A,GEO/GSO,clock,2025-01-02T05:45:00Z,0.0609
IRNSS-1A,GEO/GSO,clock,2025-01-02T06:00:00Z,0.0612
IRNSS-1A,GEO/GSO,clock,2025-01-02T06:15:00Z,0.0477
IRNSS-1A,GEO/GSO,clock,2025-01-02T06:30:00Z,0.0662
IRNSS-1A,GEO/GSO,clock,2025-01-02T06:45:00Z,0.0439
IRNSS-1A,GEO/GSO,clock,2025-01-02T07:00:00Z,0.0598
IRNSS-1A,GEO/GSO,clock,2025-01-02T07:15:00Z,0.0727
IRNSS-1A,GEO/GSO,clock,2025-01-02T07:30:00Z,0.0473
IRNSS-1A,GEO/GSO,clock,2025-01-02T07:45:00Z,0.0508
IRNSS-1A,GEO/GSO,clock,2025-01-02T08:00:00Z,0.0561
IRNSS-1A,GEO/GSO,clock,2025-01-02T08:15:00Z,0.0513
IRNSS-1A,GEO/GSO,clock,2025-01-02T08:30:00Z,0.043
IRNSS-1A,GEO/GSO,clock,2025-01-02T08:45:00Z,0.056
IRNSS-1A,GEO/GSO,clock,2025-01-02T09:00:00Z,0.047
IRNSS-1A,GEO/GSO,clock,2025-01-02T09:15:00Z,0.0593
IRNSS-1A,GEO/GSO,clock,2025-01-02T09:30:00Z,0.0482
IRNSS-1A,GEO/GSO,clock,2025-01-02T09:45:00Z,0.068
IRNSS-1A,GEO/GSO,clock,2025-01-02T10:00:00Z,0.0494
IRNSS-1A,GEO/GSO,clock,2025-01-02T10:15:00Z,0.0531
IRNSS-1A,GEO/GSO,clock,2025-01-02T10:30:00Z,0.0622
IRNSS-1A,GEO/GSO,clock,2025-01-02T10:45:00Z,0.0459
IRNSS-1A,GEO/GSO,clock,2025-01-02T11:00:00Z,0.0576
IRNSS-1A,GEO/GSO,clock,2025-01-02T11:15:00Z,0.0663
IRNSS-1A,GEO/GSO,clock,2025-01-02T11:30:00Z,0.043
IRNSS-1A,GEO/GSO,clock,2025-01-02T11:45:00Z,0.0573
IRNSS-1A,GEO/GSO,clock,2025-01-02T12:00:00Z,0.0579
IRNSS-1A,GEO/GSO,clock,2025-01-02T12:15:00Z,0.0621
IRNSS-1A,GEO/GSO,clock,2025-01-02T12:30:00Z,0.046
IRNSS-1A,GEO/GSO,clock,2025-01-02T12:45:00Z,0.0454
IRNSS-1A,GEO/GSO,clock,2025-01-02T13:00:00Z,0.0601
IRNSS-1A,GEO/GSO,clock,2025-01-02T13:15:00Z,0.0583
IRNSS-1A,GEO/GSO,clock,2025-01-02T13:30:00Z,0.058
IRNSS-1A,GEO/GSO,clock,2025-01-02T13:45:00Z,0.0587
IRNSS-1A,GEO/GSO,clock,2025-01-02T14:00:00Z,0.0505
IRNSS-1A,GEO/GSO,clock,2025-01-02T14:15:00Z,0.0578
IRNSS-1A,GEO/GSO,clock,2025-01-02T14:30:00Z,0.0583
